"Type","Version","DateTime"
"Chromedriver","122.0.6261.57","02/21/2024 15:56:10"
"firefoxdriver","0.34.0","02/21/2024 14:50:56"
"edgedriver","121.0.2277.128","02/21/2024 14:50:53"
"firefoxdriver","0.34.0","02/21/2024 14:21:43"
"edgedriver","121.0.2277.128","02/21/2024 14:21:38"
"firefoxdriver","0.34.0","02/21/2024 14:12:54"
"edgedriver","121.0.2277.128","02/21/2024 14:12:33"
"Chromedriver","121.0.6167.184","02/21/2024 04:47:02"
"Chromedriver","121.0.6167.85","02/17/2024 00:47:03"
"edgedriver","121.0.2277.112","02/16/2024 04:48:28"
"edgedriver","121.0.2277.106","02/07/2024 18:48:35"
"edgedriver","121.0.2277.98","02/06/2024 02:48:32"
"edgedriver","121.0.2277.83","02/02/2024 04:48:32"
"edgedriver","120.0.2210.144","01/26/2024 04:48:33"
"edgedriver","120.0.2210.133","01/18/2024 02:48:29"
"edgedriver","120.0.2210.121","01/12/2024 04:48:28"
"edgedriver","120.0.2210.91","12/22/2023 04:49:45"
"edgedriver","120.0.2210.89","12/21/2023 04:49:47"
"Chromedriver","120.0.6099.109","12/19/2023 04:47:07"
"edgedriver","120.0.2210.77","12/15/2023 10:48:30"
"edgedriver","120.0.2210.61","12/08/2023 04:48:32"
"Chromedriver","120.0.6099.71","12/07/2023 06:47:07"
"Chromedriver","120.0.6099.62","12/06/2023 08:47:03"
"edgedriver","119.0.2151.97","11/30/2023 06:48:31"
"edgedriver","119.0.2151.93","11/28/2023 04:48:32"
"Chromedriver","119.0.6045.105","11/20/2023 16:28:51"
"edgedriver","119.0.2151.72","11/17/2023 06:49:46"
"edgedriver","119.0.2151.58","11/10/2023 04:49:46"
"edgedriver","119.0.2151.44","11/03/2023 06:50:10"
"edgedriver","118.0.2088.76","10/28/2023 08:49:43"
"edgedriver","118.0.2088.69","10/25/2023 08:49:45"
"edgedriver","118.0.2088.61","10/21/2023 02:48:30"
"edgedriver","118.0.2088.57","10/19/2023 04:49:42"
"edgedriver","118.0.2088.46","10/14/2023 02:49:46"
"Chromedriver","118.0.5993.70","10/11/2023 06:47:07"
"edgedriver","117.0.2045.60","10/07/2023 06:49:46"
"edgedriver","117.0.2045.55","10/05/2023 08:49:41"
"Chromedriver","117.0.5938.149","10/05/2023 04:47:07"
"edgedriver","117.0.2045.47","09/30/2023 06:50:13"
"edgedriver","117.0.2045.43","09/26/2023 02:48:10"
"edgedriver","117.0.2045.41","09/24/2023 02:49:41"
"edgedriver","117.0.2045.40","09/23/2023 04:48:09"
"Chromedriver","117.0.5938.92","09/22/2023 04:47:07"
"edgedriver","117.0.2045.36","09/20/2023 08:49:39"
"edgedriver","117.0.2045.35","09/20/2023 00:49:50"
"edgedriver","117.0.2045.31","09/19/2023 10:34:21"
"Chromedriver","117.0.5938.88","09/18/2023 08:46:25"
"edgedriver","116.0.1938.81","09/15/2023 02:45:09"
"Chromedriver","117.0.5938.62","09/13/2023 06:44:03"
"edgedriver","116.0.1938.76","09/08/2023 04:47:41"
"edgedriver","116.0.1938.69","09/01/2023 04:46:12"
"edgedriver","116.0.1938.62","08/26/2023 04:47:40"
"edgedriver","116.0.1938.54","08/22/2023 10:46:08"
"Chromedriver","116.0.5845.96","08/16/2023 02:45:03"
"edgedriver","115.0.1901.203","08/11/2023 04:47:40"
"edgedriver","115.0.1901.200","08/08/2023 10:47:37"
"Chromedriver","115.0.5790.170","08/08/2023 10:30:09"
"firefoxdriver","0.33.0","08/01/2023 20:46:07"
"firefoxdriver","0.30.0","08/01/2023 18:46:06"
"edgedriver","115.0.1901.188","07/28/2023 04:47:43"
"edgedriver","115.0.1901.183","07/22/2023 02:47:41"
"edgedriver","114.0.1823.86","07/18/2023 09:36:59"
"edgedriver","114.0.1823.41","06/08/2023 14:52:33"
"edgedriver","114.0.1823.37","06/06/2023 18:03:45"
"edgedriver","113.0.1774.57","06/01/2023 03:01:23"
"Chromedriver","114.0.5735.90","06/01/2023 03:00:16"
"edgedriver","113.0.1774.50","05/20/2023 03:01:10"
"edgedriver","113.0.1774.42","05/13/2023 03:01:09"
"edgedriver","113.0.1774.35","05/07/2023 03:01:10"
"Chromedriver","114.0.5735.16","05/05/2023 03:00:16"
"Chromedriver","113.0.5672.63","05/04/2023 03:00:17"
"edgedriver","112.0.1722.68","05/03/2023 03:01:14"
"edgedriver","112.0.1722.64","04/29/2023 03:01:10"
"edgedriver","112.0.1722.58","04/27/2023 11:31:12"
"edgedriver","113.0.1774.9","04/15/2023 03:00:09"
"edgedriver","112.0.1722.39","04/12/2023 03:00:08"
"Chromedriver","113.0.5672.24","04/11/2023 03:00:16"
"edgedriver","112.0.1722.34","04/07/2023 10:21:25"
"Chromedriver","112.0.5615.49","04/06/2023 03:00:15"
"edgedriver","111.0.1661.62","04/01/2023 03:00:08"
"edgedriver","111.0.1661.54","03/25/2023 09:36:14"
"edgedriver","111.0.1661.51","03/23/2023 23:28:20"
"firefoxdriver","0.32.2","03/20/2023 12:34:12"
"edgedriver","111.0.1661.44","03/20/2023 12:34:09"
"Chromedriver","111.0.5563.64","03/20/2023 12:34:05"
